ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,SALES_ORDER_NUMBER,LINE_ITEM,STORAGE_LOCATION,REGION,AREA,CITY,COUNTRY,POSTAL_CODE,CUSTOMER_NUMBER,DISTRIBUTION_CHANNEL,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,QUANTITY,QUANTITY_DELIVERED,UNIT,NET_PRICE,NET_VALUE,COST,CURRENCY,CONTRIBUTION_MARGIN,CONTRIBUTION_MARGIN_PCT
.1~605,605,GG,1,9,01-Sep,09-01-2024 00:00,2,9,1295,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,GG-T04,Cheese,Trading Goods,T04,,Cheese,19,19,ST,89,1691,1578.71,EUR,112.29,0.07
.1~604,604,GG,1,9,01-Sep,09-01-2024 00:00,2,9,1295,4,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,GG-T04,Cheese,Trading Goods,T04,,Cheese,5,5,ST,89,445,415.45,EUR,29.55,0.07
.1~603,603,GG,1,9,01-Sep,09-01-2024 00:00,2,9,1295,2,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,GG-T03,Yoghurt,Trading Goods,T03,,Yoghurt,82,82,ST,28,2296,2130.36,EUR,165.64,0.07
.1~552,552,GG,1,6,01-Jun,06-01-2024 00:00,2,6,1247,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,GG-T04,Cheese,Trading Goods,T04,,Cheese,21,21,ST,91,1911,1744.89,EUR,166.11,0.09
.1~472,472,EE,1,10,01-Oct,10-01-2024 00:00,2,10,1217,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,EE-T04,Cheese,Trading Goods,T04,,Cheese,19,19,ST,95.88,1821.72,1575.48,EUR,246.24,0.14
.1~450,450,EE,1,8,01-Aug,08-01-2024 00:00,2,8,1196,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,EE-T04,Cheese,Trading Goods,T04,,Cheese,5,5,ST,100.67,503.35,414.6,EUR,88.75,0.18
.1~425,425,EE,1,5,01-May,05-01-2024 00:00,1,5,1166,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,EE-T03,Yoghurt,Trading Goods,T03,,Yoghurt,51,51,ST,35.45,1807.95,1322.43,EUR,485.52,0.27
.1~401,401,DD,1,10,01-Oct,10-01-2024 00:00,2,10,1219,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,DD-T02,Cream,Trading Goods,T02,,Cream,22,22,ST,79.01,1738.22,1593.02,EUR,145.2,0.08
.1~339,339,DD,1,6,01-Jun,06-01-2024 00:00,2,6,1175,2,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,DD-T04,Cheese,Trading Goods,T04,,Cheese,23,23,ST,90.95,2091.85,1910.61,EUR,181.24,0.09
.1~337,337,DD,1,6,01-Jun,06-01-2024 00:00,2,6,1175,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,DD-T04,Cheese,Trading Goods,T04,,Cheese,27,27,ST,90.95,2455.65,2242.89,EUR,212.76,0.09
.1~336,336,DD,1,6,01-Jun,06-01-2024 00:00,2,6,1175,3,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,DD-T01,Milk,Trading Goods,T01,,Milk,68,68,ST,26.99,1835.32,1568.08,EUR,267.24,0.15
.1~310,310,DD,1,5,01-May,05-01-2024 00:00,1,5,1167,2,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,DD-T06,Ice Cream,Trading Goods,T06,,Ice Cream,24,24,ST,47.47,1139.28,1040.4,EUR,98.88,0.09
.1~306,306,DD,1,5,01-May,05-01-2024 00:00,1,5,1167,3,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,DD-T04,Cheese,Trading Goods,T04,,Cheese,27,27,ST,90.95,2455.65,2242.89,EUR,212.76,0.09
.1~304,304,DD,1,5,01-May,05-01-2024 00:00,1,5,1167,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,DD-T03,Yoghurt,Trading Goods,T03,,Yoghurt,25,25,ST,28.43,710.75,649.25,EUR,61.5,0.09
.1~278,278,DD,1,4,01-Apr,04-01-2024 00:00,1,4,1160,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,DD-T06,Ice Cream,Trading Goods,T06,,Ice Cream,44,44,ST,47.47,2088.68,1907.4,EUR,181.28,0.09
.1~276,276,DD,1,4,01-Apr,04-01-2024 00:00,1,4,1160,2,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,DD-T04,Cheese,Trading Goods,T04,,Cheese,18,18,ST,90.95,1637.1,1495.26,EUR,141.84,0.09
