ID,ROW_ID,SALES_ORGANIZATION,SIM_ROUND,SIM_STEP,SIM_DATE,SIM_CALENDAR_DATE,SIM_PERIOD,SIM_ELAPSED_STEPS,SALES_ORDER_NUMBER,LINE_ITEM,STORAGE_LOCATION,REGION,AREA,CITY,COUNTRY,POSTAL_CODE,CUSTOMER_NUMBER,DISTRIBUTION_CHANNEL,MATERIAL_NUMBER,MATERIAL_DESCRIPTION,MATERIAL_TYPE,MATERIAL_CODE,MATERIAL_SIZE,MATERIAL_LABEL,QUANTITY,QUANTITY_DELIVERED,UNIT,NET_PRICE,NET_VALUE,COST,CURRENCY,CONTRIBUTION_MARGIN,CONTRIBUTION_MARGIN_PCT
.1~1423,1423,LL,3,4,03-Apr,24-01-2024 00:00,5,24,1617,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,LL-T02,Cream,Trading Goods,T02,,Cream,21,21,ST,83.78,1759.38,1519.98,EUR,239.4,0.14
.1~1414,1414,LL,2,10,02-Oct,20-01-2024 00:00,4,20,1581,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,LL-T04,Cheese,Trading Goods,T04,,Cheese,17,17,ST,89.95,1529.15,1416.61,EUR,112.54,0.07
.1~1413,1413,LL,2,10,02-Oct,20-01-2024 00:00,4,20,1581,2,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,LL-T04,Cheese,Trading Goods,T04,,Cheese,16,16,ST,89.95,1439.2,1333.28,EUR,105.92,0.07
.1~1412,1412,LL,2,10,02-Oct,20-01-2024 00:00,4,20,1581,3,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,LL-T04,Cheese,Trading Goods,T04,,Cheese,24,24,ST,89.95,2158.8,1999.92,EUR,158.88,0.07
.1~1335,1335,LL,1,10,01-Oct,10-01-2024 00:00,2,10,1417,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,LL-T04,Cheese,Trading Goods,T04,,Cheese,19,19,ST,97.95,1861.05,1579.85,EUR,281.2,0.15
.1~1988,1988,OO,3,5,03-May,25-01-2024 00:00,5,25,1634,2,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T01,Milk,Trading Goods,T01,,Milk,76,76,ST,30.02,2281.52,1798.16,EUR,483.36,0.21
.1~1985,1985,OO,3,4,03-Apr,24-01-2024 00:00,5,24,1623,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T05,Butter,Trading Goods,T05,,Butter,32,32,ST,68.78,2200.96,1942.08,EUR,258.88,0.12
.1~1973,1973,OO,3,2,03-Feb,22-01-2024 00:00,5,22,1609,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T04,Cheese,Trading Goods,T04,,Cheese,19,19,ST,93.32,1773.08,1588.02,EUR,185.06,0.1
.1~1959,1959,OO,2,10,02-Oct,20-01-2024 00:00,4,20,1580,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T04,Cheese,Trading Goods,T04,,Cheese,24,24,ST,93.32,2239.68,2005.92,EUR,233.76,0.1
.1~1940,1940,OO,2,7,02-Jul,17-01-2024 00:00,4,17,1538,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T06,Ice Cream,Trading Goods,T06,,Ice Cream,19,19,ST,51.32,975.08,829.35,EUR,145.73,0.15
.1~1939,1939,OO,2,7,02-Jul,17-01-2024 00:00,4,17,1538,2,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T05,Butter,Trading Goods,T05,,Butter,26,26,ST,68.06,1769.56,1577.94,EUR,191.62,0.11
.1~1930,1930,OO,2,5,02-May,15-01-2024 00:00,3,15,1495,2,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T04,Cheese,Trading Goods,T04,,Cheese,9,9,ST,93.32,839.88,750.87,EUR,89.01,0.11
.1~1929,1929,OO,2,5,02-May,15-01-2024 00:00,3,15,1495,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T02,Cream,Trading Goods,T02,,Cream,21,21,ST,82.02,1722.42,1523.97,EUR,198.45,0.12
.1~1928,1928,OO,2,5,02-May,15-01-2024 00:00,3,15,1495,3,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T01,Milk,Trading Goods,T01,,Milk,55,55,ST,28.02,1541.1,1285.35,EUR,255.75,0.17
.1~1921,1921,OO,2,4,02-Apr,14-01-2024 00:00,3,14,1480,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T04,Cheese,Trading Goods,T04,,Cheese,1,1,ST,93.32,93.32,83.43,EUR,9.89,0.11
.1~1905,1905,OO,2,2,02-Feb,12-01-2024 00:00,3,12,1446,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T05,Butter,Trading Goods,T05,,Butter,24,24,ST,68.06,1633.44,1456.08,EUR,177.36,0.11
.1~1904,1904,OO,2,2,02-Feb,12-01-2024 00:00,3,12,1446,2,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T04,Cheese,Trading Goods,T04,,Cheese,22,22,ST,93.32,2053.04,1835.46,EUR,217.58,0.11
.1~1898,1898,OO,1,10,01-Oct,10-01-2024 00:00,2,10,1416,3,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T04,Cheese,Trading Goods,T04,,Cheese,26,26,ST,93.32,2426.32,2160.6,EUR,265.72,0.11
.1~1896,1896,OO,1,10,01-Oct,10-01-2024 00:00,2,10,1416,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T04,Cheese,Trading Goods,T04,,Cheese,21,21,ST,93.32,1959.72,1745.1,EUR,214.62,0.11
.1~1895,1895,OO,1,10,01-Oct,10-01-2024 00:00,2,10,1416,2,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T01,Milk,Trading Goods,T01,,Milk,66,66,ST,28.02,1849.32,1522.62,EUR,326.7,0.18
.1~1865,1865,OO,1,7,01-Jul,07-01-2024 00:00,2,7,1377,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T05,Butter,Trading Goods,T05,,Butter,34,34,ST,68.06,2314.04,2046.46,EUR,267.58,0.12
.1~1849,1849,OO,1,5,01-May,05-01-2024 00:00,1,5,1343,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T01,Milk,Trading Goods,T01,,Milk,56,56,ST,28.02,1569.12,1291.92,EUR,277.2,0.18
.1~1843,1843,NN,3,10,03-Oct,30-01-2024 00:00,6,30,1711,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,NN-T04,Cheese,Trading Goods,T04,,Cheese,18,18,ST,95,1710,1500.12,EUR,209.88,0.12
.1~2238,2238,PP,3,10,03-Oct,30-01-2024 00:00,6,30,1714,2,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,PP-T02,Cream,Trading Goods,T02,,Cream,31,31,ST,73,2263,2254.32,EUR,8.68,0
.1~2236,2236,PP,3,10,03-Oct,30-01-2024 00:00,6,30,1714,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,PP-T01,Milk,Trading Goods,T01,,Milk,81,81,ST,23,1863,1876.77,EUR,-13.77,-0.01
.1~2179,2179,PP,3,5,03-May,25-01-2024 00:00,5,25,1632,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,PP-T02,Cream,Trading Goods,T02,,Cream,22,22,ST,79.99,1759.78,1599.84,EUR,159.94,0.09
.1~2155,2155,PP,2,7,02-Jul,17-01-2024 00:00,4,17,1539,2,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,PP-T04,Cheese,Trading Goods,T04,,Cheese,10,10,ST,86.49,864.9,837.1,EUR,27.8,0.03
.1~2154,2154,PP,2,7,02-Jul,17-01-2024 00:00,4,17,1539,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,PP-T02,Cream,Trading Goods,T02,,Cream,20,20,ST,76.25,1525,1458.6,EUR,66.4,0.04
.1~2129,2129,PP,2,5,02-May,15-01-2024 00:00,3,15,1502,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,PP-T04,Cheese,Trading Goods,T04,,Cheese,10,10,ST,84.99,849.9,837.1,EUR,12.8,0.02
.1~2128,2128,PP,2,5,02-May,15-01-2024 00:00,3,15,1502,2,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,PP-T02,Cream,Trading Goods,T02,,Cream,22,22,ST,79.99,1759.78,1604.46,EUR,155.32,0.09
.1~2094,2094,PP,1,10,01-Oct,10-01-2024 00:00,2,10,1419,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,PP-T03,Yoghurt,Trading Goods,T03,,Yoghurt,21,21,ST,26,546,546.42,EUR,-0.42,0
.1~2064,2064,PP,1,7,01-Jul,07-01-2024 00:00,2,7,1379,2,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,PP-T06,Ice Cream,Trading Goods,T06,,Ice Cream,30,30,ST,44,1320,1302.9,EUR,17.1,0.01
.1~2063,2063,PP,1,7,01-Jul,07-01-2024 00:00,2,7,1379,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,PP-T05,Butter,Trading Goods,T05,,Butter,12,12,ST,60,720,723.24,EUR,-3.24,0
.1~2037,2037,PP,1,5,01-May,05-01-2024 00:00,1,5,1347,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,PP-T05,Butter,Trading Goods,T05,,Butter,25,25,ST,63,1575,1506.75,EUR,68.25,0.04
.1~2035,2035,PP,1,5,01-May,05-01-2024 00:00,1,5,1347,2,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,PP-T02,Cream,Trading Goods,T02,,Cream,32,32,ST,76,2432,2321.28,EUR,110.72,0.05
.1~2034,2034,PP,1,5,01-May,05-01-2024 00:00,1,5,1347,3,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,PP-T01,Milk,Trading Goods,T01,,Milk,65,65,ST,24,1560,1501.5,EUR,58.5,0.04
.1~2015,2015,OO,3,10,03-Oct,30-01-2024 00:00,6,30,1710,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T04,Cheese,Trading Goods,T04,,Cheese,26,26,ST,93.06,2419.56,2173.08,EUR,246.48,0.1
.1~1996,1996,OO,3,7,03-Jul,27-01-2024 00:00,6,27,1659,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T04,Cheese,Trading Goods,T04,,Cheese,22,22,ST,94.01,2068.22,1838.76,EUR,229.46,0.11
.1~1990,1990,OO,3,5,03-May,25-01-2024 00:00,5,25,1634,1,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,OO-T05,Butter,Trading Goods,T05,,Butter,36,36,ST,68.78,2476.08,2214.72,EUR,261.36,0.11
.1~1670,1670,NN,1,5,01-May,05-01-2024 00:00,1,5,1348,7,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,NN-T01,Milk,Trading Goods,T01,,Milk,62,62,ST,25.25,1565.5,1430.34,EUR,135.16,0.09
.1~1642,1642,MM,3,10,03-Oct,30-01-2024 00:00,6,30,1713,3,03W,Nrth Rhine Westfalia,West,ESSEN,Germany,45128,80304,16,MM-T04,Cheese,Trading Goods,T04,,Cheese,7,7,ST,88,616,582.05,EUR,33.95,0.06
